observation_id,mpg,weight_lb,origin
1,18.0,3504.,USA
2,15.0,3693.,USA
3,18.0,3436.,USA
4,16.0,3433.,USA
5,17.0,3449.,USA
6,15.0,4341.,USA
7,14.0,4354.,USA
8,14.0,4312.,USA
9,14.0,4425.,USA
10,15.0,3850.,USA
11,15.0,3563.,USA
12,14.0,3609.,USA
13,15.0,3761.,USA
14,14.0,3086.,USA
15,24.0,2372.,Japan
16,22.0,2833.,USA
17,18.0,2774.,USA
18,21.0,2587.,USA
19,27.0,2130.,Japan
20,26.0,1835.,Europe
21,25.0,2672.,Europe
22,24.0,2430.,Europe
23,25.0,2375.,Europe
24,26.0,2234.,Europe
25,21.0,2648.,USA
26,10.0,4615.,USA
27,10.0,4376.,USA
28,11.0,4382.,USA
29,9.0,4732.,USA
30,27.0,2130.,Japan
31,28.0,2264.,USA
32,25.0,2228.,Japan
33,25.0,2046.,USA
34,19.0,2634.,USA
35,16.0,3439.,USA
36,17.0,3329.,USA
37,19.0,3302.,USA
38,18.0,3288.,USA
39,14.0,4209.,USA
40,14.0,4464.,USA
41,14.0,4154.,USA
42,14.0,4096.,USA
43,12.0,4955.,USA
44,13.0,4746.,USA
45,13.0,5140.,USA
46,18.0,2962.,USA
47,22.0,2408.,USA
48,19.0,3282.,USA
49,18.0,3139.,USA
50,23.0,2220.,USA
51,28.0,2123.,Europe
52,30.0,2074.,Europe
53,30.0,2065.,Europe
54,31.0,1773.,Japan
55,35.0,1613.,Japan
56,27.0,1834.,Europe
57,26.0,1955.,USA
58,24.0,2278.,Japan
59,25.0,2126.,USA
60,23.0,2254.,Europe
61,20.0,2408.,USA
62,21.0,2226.,USA
63,13.0,4274.,USA
64,14.0,4385.,USA
65,15.0,4135.,USA
66,14.0,4129.,USA
67,17.0,3672.,USA
68,11.0,4633.,USA
69,13.0,4502.,USA
70,12.0,4456.,USA
71,13.0,4422.,USA
72,19.0,2330.,Japan
73,15.0,3892.,USA
74,13.0,4098.,USA
75,13.0,4294.,USA
76,14.0,4077.,USA
77,18.0,2933.,Europe
78,22.0,2511.,Europe
79,21.0,2979.,Europe
80,26.0,2189.,Europe
81,22.0,2395.,USA
82,28.0,2288.,Japan
83,23.0,2506.,Japan
84,28.0,2164.,USA
85,27.0,2100.,Japan
86,13.0,4100.,USA
87,14.0,3672.,USA
88,13.0,3988.,USA
89,14.0,4042.,USA
90,15.0,3777.,USA
91,12.0,4952.,USA
92,13.0,4464.,USA
93,13.0,4363.,USA
94,14.0,4237.,USA
95,13.0,4735.,USA
96,12.0,4951.,USA
97,13.0,3821.,USA
98,18.0,3121.,USA
99,16.0,3278.,USA
100,18.0,2945.,USA
101,18.0,3021.,USA
102,23.0,2904.,USA
103,26.0,1950.,Europe
104,11.0,4997.,USA
105,12.0,4906.,USA
106,13.0,4654.,USA
107,12.0,4499.,USA
108,18.0,2789.,USA
109,20.0,2279.,Japan
110,21.0,2401.,USA
111,22.0,2379.,Japan
112,18.0,2124.,Japan
113,19.0,2310.,USA
114,21.0,2472.,USA
115,26.0,2265.,Europe
116,15.0,4082.,USA
117,16.0,4278.,USA
118,29.0,1867.,Europe
119,24.0,2158.,Europe
120,20.0,2582.,Europe
121,19.0,2868.,Europe
122,15.0,3399.,USA
123,24.0,2660.,Europe
124,20.0,2807.,Japan
125,11.0,3664.,USA
126,20.0,3102.,USA
127,21.0,2875.,USA
128,19.0,2901.,USA
129,15.0,3336.,USA
130,31.0,1950.,Japan
131,26.0,2451.,USA
132,32.0,1836.,Japan
133,25.0,2542.,USA
134,16.0,3781.,USA
135,16.0,3632.,USA
136,18.0,3613.,USA
137,16.0,4141.,USA
138,13.0,4699.,USA
139,14.0,4457.,USA
140,14.0,4638.,USA
141,14.0,4257.,USA
142,29.0,2219.,Europe
143,26.0,1963.,Europe
144,26.0,2300.,Europe
145,31.0,1649.,Japan
146,32.0,2003.,Japan
147,28.0,2125.,USA
148,24.0,2108.,Europe
149,26.0,2246.,Europe
150,24.0,2489.,Japan
151,26.0,2391.,Japan
152,31.0,2000.,Europe
153,19.0,3264.,USA
154,18.0,3459.,USA
155,15.0,3432.,USA
156,15.0,3158.,USA
157,16.0,4668.,USA
158,15.0,4440.,USA
159,16.0,4498.,USA
160,14.0,4657.,USA
161,17.0,3907.,USA
162,16.0,3897.,USA
163,15.0,3730.,USA
164,18.0,3785.,USA
165,21.0,3039.,USA
166,20.0,3221.,USA
167,13.0,3169.,USA
168,29.0,2171.,Japan
169,23.0,2639.,USA
170,20.0,2914.,USA
171,23.0,2592.,USA
172,24.0,2702.,Japan
173,25.0,2223.,Europe
174,24.0,2545.,Japan
175,18.0,2984.,USA
176,29.0,1937.,Europe
177,19.0,3211.,USA
178,23.0,2694.,Europe
179,23.0,2957.,Europe
180,22.0,2945.,Europe
181,25.0,2671.,Europe
182,33.0,1795.,Japan
183,28.0,2464.,Europe
184,25.0,2220.,Europe
185,25.0,2572.,USA
186,26.0,2255.,USA
187,27.0,2202.,Europe
188,17.5,4215.,USA
189,16.0,4190.,USA
190,15.5,3962.,USA
191,14.5,4215.,USA
192,22.0,3233.,USA
193,22.0,3353.,USA
194,24.0,3012.,USA
195,22.5,3085.,USA
196,29.0,2035.,USA
197,24.5,2164.,USA
198,29.0,1937.,Europe
199,33.0,1795.,Japan
200,20.0,3651.,USA
201,18.0,3574.,USA
202,18.5,3645.,USA
203,17.5,3193.,USA
204,29.5,1825.,Europe
205,32.0,1990.,Japan
206,28.0,2155.,Japan
207,26.5,2565.,USA
208,20.0,3150.,Europe
209,13.0,3940.,USA
210,19.0,3270.,Europe
211,19.0,2930.,Japan
212,16.5,3820.,Europe
213,16.5,4380.,USA
214,13.0,4055.,USA
215,13.0,3870.,USA
216,13.0,3755.,USA
217,31.5,2045.,Japan
218,30.0,2155.,USA
219,36.0,1825.,Europe
220,25.5,2300.,USA
221,33.5,1945.,Japan
222,17.5,3880.,USA
223,17.0,4060.,USA
224,15.5,4140.,USA
225,15.0,4295.,USA
226,17.5,3520.,USA
227,20.5,3425.,USA
228,19.0,3630.,USA
229,18.5,3525.,USA
230,16.0,4220.,USA
231,15.5,4165.,USA
232,15.5,4325.,USA
233,16.0,4335.,USA
234,29.0,1940.,Europe
235,24.5,2740.,USA
236,26.0,2265.,Japan
237,25.5,2755.,USA
238,30.5,2051.,USA
239,33.5,2075.,USA
240,30.0,1985.,Japan
241,30.5,2190.,Europe
242,22.0,2815.,Japan
243,21.5,2600.,Europe
244,21.5,2720.,Japan
245,43.1,1985.,Europe
246,36.1,1800.,USA
247,32.8,1985.,Japan
248,39.4,2070.,Japan
249,36.1,1800.,Japan
250,19.9,3365.,USA
251,19.4,3735.,USA
252,20.2,3570.,USA
253,19.2,3535.,USA
254,20.5,3155.,USA
255,20.2,2965.,USA
256,25.1,2720.,USA
257,20.5,3430.,USA
258,19.4,3210.,USA
259,20.6,3380.,USA
260,20.8,3070.,USA
261,18.6,3620.,USA
262,18.1,3410.,USA
263,19.2,3425.,USA
264,17.7,3445.,USA
265,18.1,3205.,USA
266,17.5,4080.,USA
267,30.0,2155.,USA
268,27.5,2560.,Japan
269,27.2,2300.,Japan
270,30.9,2230.,USA
271,21.1,2515.,Japan
272,23.2,2745.,USA
273,23.8,2855.,USA
274,23.9,2405.,Japan
275,20.3,2830.,Europe
276,17.0,3140.,Europe
277,21.6,2795.,Europe
278,16.2,3410.,Europe
279,31.5,1990.,Europe
280,29.5,2135.,Japan
281,21.5,3245.,USA
282,19.8,2990.,USA
283,22.3,2890.,USA
284,20.2,3265.,USA
285,20.6,3360.,USA
286,17.0,3840.,USA
287,17.6,3725.,USA
288,16.5,3955.,USA
289,18.2,3830.,USA
290,16.9,4360.,USA
291,15.5,4054.,USA
292,19.2,3605.,USA
293,18.5,3940.,USA
294,31.9,1925.,Europe
295,34.1,1975.,Japan
296,35.7,1915.,USA
297,27.4,2670.,USA
298,25.4,3530.,Europe
299,23.0,3900.,USA
300,27.2,3190.,Europe
301,23.9,3420.,USA
302,34.2,2200.,USA
303,34.5,2150.,USA
304,31.8,2020.,Japan
305,37.3,2130.,Europe
306,28.4,2670.,USA
307,28.8,2595.,USA
308,26.8,2700.,USA
309,33.5,2556.,USA
310,41.5,2144.,Europe
311,38.1,1968.,Japan
312,32.1,2120.,USA
313,37.2,2019.,Japan
314,28.0,2678.,USA
315,26.4,2870.,USA
316,24.3,3003.,USA
317,19.1,3381.,USA
318,34.3,2188.,Europe
319,29.8,2711.,Japan
320,31.3,2542.,Japan
321,37.0,2434.,Japan
322,32.2,2265.,Japan
323,46.6,2110.,Japan
324,27.9,2800.,USA
325,40.8,2110.,Japan
326,44.3,2085.,Europe
327,43.4,2335.,Europe
328,36.4,2950.,Europe
329,30.0,3250.,Europe
330,44.6,1850.,Japan
331,40.9,1835.,Europe
332,33.8,2145.,Japan
333,29.8,1845.,Europe
334,32.7,2910.,Japan
335,23.7,2420.,Japan
336,35.0,2500.,Europe
337,23.6,2905.,USA
338,32.4,2290.,Japan
339,27.2,2490.,USA
340,26.6,2635.,USA
341,25.8,2620.,USA
342,23.5,2725.,USA
343,30.0,2385.,USA
344,39.1,1755.,Japan
345,39.0,1875.,USA
346,35.1,1760.,Japan
347,32.3,2065.,Japan
348,37.0,1975.,Japan
349,37.7,2050.,Japan
350,34.1,1985.,Japan
351,34.7,2215.,USA
352,34.4,2045.,USA
353,29.9,2380.,USA
354,33.0,2190.,Europe
355,34.5,2320.,Europe
356,33.7,2210.,Japan
357,32.4,2350.,Japan
358,32.9,2615.,Japan
359,31.6,2635.,Japan
360,28.1,3230.,Europe
361,30.7,3160.,Europe
362,25.4,2900.,Japan
363,24.2,2930.,Japan
364,22.4,3415.,USA
365,26.6,3725.,USA
366,20.2,3060.,USA
367,17.6,3465.,USA
368,28.0,2605.,USA
369,27.0,2640.,USA
370,34.0,2395.,USA
371,31.0,2575.,USA
372,29.0,2525.,USA
373,27.0,2735.,USA
374,24.0,2865.,USA
375,23.0,3035.,USA
376,36.0,1980.,Europe
377,37.0,2025.,Japan
378,31.0,1970.,Japan
379,38.0,2125.,USA
380,36.0,2125.,USA
381,36.0,2160.,Japan
382,36.0,2205.,Japan
383,34.0,2245,Japan
384,38.0,1965.,Japan
385,32.0,1965.,Japan
386,38.0,1995.,Japan
387,25.0,2945.,USA
388,38.0,3015.,USA
389,26.0,2585.,USA
390,22.0,2835,USA
391,32.0,2665.,Japan
392,36.0,2370.,USA
393,27.0,2950.,USA
394,27.0,2790.,USA
395,44.0,2130.,Europe
396,32.0,2295.,USA
397,28.0,2625.,USA
398,31.0,2720.,USA
